noise_type,metric_type,target,value,success,param_mean,param_var,param_s_vs_p,param_amount,param_strength,param_power,param_num_threshold,param_len_threshold,param_noise_strength,param_stripe_width,param_direction,param_angle,param_intensity,param_gamma,param_factor,param_slope,param_sun_angle,param_sun_azimuth,param_sun_elevation,param_Minnaert_constant_B,param_Minnaert_constant_G,param_Minnaert_constant_R,param_Minnaert_constant_NIR,param_haze,param_rayleigh
gaussian,psnr,47.0,46.9968857314504,True,0.6416611296404979,1.1943679615726572,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.1,0.09756626687738885,True,16.132147507076127,1718.911441246535,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.15,0.17407127955888624,True,-47.66083286178697,522.1561313938602,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.2,0.18667563006488927,True,-36.42860700297183,488.94891596594965,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.25,0.26928045289727837,True,35.58749312705916,337.06102349145664,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.3,0.2949652735775825,True,9.016976359476807,234.30235548709499,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.3500000000000001,0.33108243585173497,True,38.98901927251436,239.11205590442304,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.4000000000000001,0.42114974576648834,True,7.79191672874301,111.09959814712956,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.45,0.4380516001929921,True,-28.566162968657526,95.23128432273226,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.5000000000000001,0.4981592601881788,True,-13.057001786118917,74.06821503966746,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.5500000000000002,0.5511779511574545,True,12.115718850320093,57.62803007357761,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.6000000000000002,0.5935206624110501,True,-5.447839681891285,47.11877372046836,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.6500000000000001,0.6400126834179738,True,27.214225550424445,37.064989273746214,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.7000000000000002,0.6907802781579594,True,21.139422664255918,28.032435100338148,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.7500000000000002,0.7484927596629452,True,-48.53638807137136,12.634703413058741,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.8000000000000002,0.7972651445333804,True,-25.7314444275611,13.58562652082112,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.8500000000000002,0.8267525947200699,True,-6.2885880245885915,12.450832456462068,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.9000000000000002,0.89258098201535,True,44.60909145354407,4.508287455986987,,,,,,,,,,,,,,,,,,,,,,,
gaussian,ssim,0.9500000000000004,0.9316541747797252,True,43.962731478571925,1.0278567681650737,,,,,,,,,,,,,,,,,,,,,,,
